C x r_over_R m_over_M alignment ilove_clove normal_ratio depth
0.10 0.400000 0.442157467 0.829874511 0.954814863 0.373880233 0.200976502 1.031628927
0.12 0.350000 0.532590966 0.852371651 0.982685080 0.266628480 0.186024942 0.792566444
