x ratio alignment normal_ratio dMdh path_min depth retained n_roots
0.250000 0.032474892 0.999998560 0.032364327 0.362973229 0.362973229 1.867507870 1 1
0.275000 0.054441774 0.999780210 0.050203988 0.804756757 0.804756757 1.598738002 1 1
0.300000 0.057698828 0.999963115 0.056985992 1.187581431 1.187581431 1.433084490 1 1
0.325000 0.063906668 0.999665396 0.058229762 1.462627586 1.462627586 1.323764783 1 1
0.350000 0.090274888 0.997634881 0.057638590 1.636079065 1.636079065 1.248217191 1 1
0.375000 0.127274266 0.993682179 0.056746634 1.724694594 1.724694594 1.194951434 1 1
0.400000 0.165682031 0.988292533 0.056097357 1.743439552 1.743439552 1.157669862 1 1
0.425000 0.201760947 0.982107714 0.055859147 1.703743701 1.703743701 1.132387250 1 1
0.450000 0.234343615 0.975651670 0.056043223 1.613433618 1.613433618 1.116622197 1 1
0.475000 0.263305556 0.969268910 0.056598302 1.477443595 1.477443595 1.109005383 1 1
0.500000 0.288509326 0.963249082 0.057318721 1.298765508 1.298765508 1.108580184 1 1
0.525000 0.309994547 0.957787968 0.057992844 1.078390273 1.078390273 1.114673740 1 1
0.550000 0.328283190 0.952904399 0.058513896 0.815523067 0.815523067 1.127155324 1 1
0.575000 0.343950302 0.948543290 0.058773242 0.508436972 0.508436972 1.146156301 1 1
0.600000 0.357494163 0.944624697 0.058616681 0.154057427 0.154057427 1.171832618 1 1
0.625000 nan nan nan -0.252700490 -0.252700490 1.204754479 0 1
0.650000 nan nan nan -0.717944983 -0.717944983 1.245989981 0 1
0.675000 nan nan nan -1.248547932 -1.248547932 1.296777825 0 1
0.700000 nan nan nan -1.853221512 -1.853221512 1.358903308 0 1
0.725000 nan nan nan -2.540704979 -2.540704979 1.435366697 0 1
0.750000 nan nan nan -3.314843561 -3.314843561 1.530500961 0 1
0.775000 nan nan nan -4.166507423 -4.166507423 1.650994616 0 1
0.800000 nan nan nan -5.046713520 -5.046713520 1.809580580 0 1
0.825000 nan nan nan -5.778914847 -5.778914847 2.036071061 0 1
0.850000 nan nan nan -5.351547817 -5.616812223 2.557969245 0 2
0.875000 nan nan nan nan nan nan 0 0
