x ilove_clove normal_ratio alignment C rR mM
0.25 0.04120502583077461 0.04105039506834681 0.999996504562774 0.10147324948195084 0.7261831447030848 0.9695618311420051
0.3499999999999999 0.06302422951806552 0.05994704779762881 0.9998215767671743 0.08785165565773245 0.6104958433811138 0.901989256819844
0.45 0.28701303511336457 0.06294984461284014 0.9639823144059874 0.07832206172543586 0.49790320879771893 0.7618341986377278
0.55 0.508895957355228 0.058039269347282395 0.8964326263332103 0.07681447599577129 0.4036868820731607 0.5562293285532686
