x ratio alignment normal_ratio dMdh path_min depth retained n_roots
0.250000 0.090406363 0.998102221 0.065577197 2.126082085 2.126082085 0.764767005 1 1
0.275000 0.103977276 0.996891221 0.066795932 2.374857590 2.374857590 0.701572809 1 1
0.300000 0.119135418 0.995242526 0.066738063 2.528817739 2.528817739 0.655360556 1 1
0.325000 0.135062200 0.993252688 0.066200637 2.607230792 2.607230792 0.621023653 1 1
0.350000 0.151132543 0.991019942 0.065733316 2.627535093 2.627535093 0.595419208 1 1
0.375000 0.166494383 0.988684700 0.065445641 2.602305647 2.602305647 0.576526609 1 1
0.400000 0.180491690 0.986388885 0.065306169 2.540016483 2.540016483 0.563007624 1 1
0.425000 0.193257898 0.984168479 0.065442007 2.446206798 2.446206798 0.553963661 1 1
0.450000 0.205117329 0.982009412 0.065941125 2.324345456 2.324345456 0.548794945 1 1
0.475000 0.215832877 0.979976687 0.066638084 2.176362225 2.176362225 0.547114868 1 1
0.500000 0.225271075 0.978119770 0.067393068 2.002953936 2.002953936 0.548696063 1 1
0.525000 0.233693406 0.976411860 0.068192735 1.803785706 1.803785706 0.553437742 1 1
0.550000 0.241284831 0.974830386 0.068993225 1.577638966 1.577638966 0.561349948 1 1
0.575000 0.247956886 0.973401133 0.069664078 1.322487122 1.322487122 0.572551396 1 1
0.600000 0.253846951 0.972102927 0.070148485 1.035460034 1.035460034 0.587277181 1 1
0.625000 0.259382077 0.970849240 0.070475789 0.712694272 0.712694272 0.605894289 1 1
0.650000 0.264724390 0.969601620 0.070581527 0.349138193 0.349138193 0.628926548 1 1
0.675000 nan nan nan -0.061603743 -0.061603743 0.657094339 0 1
0.700000 nan nan nan -0.527338861 -0.527338861 0.691376885 0 1
0.725000 nan nan nan -1.057221227 -1.057221227 0.733108172 0 1
0.750000 nan nan nan -1.661311590 -1.661311590 0.784124968 0 1
0.775000 nan nan nan -2.348853950 -2.348853950 0.846996567 0 1
0.800000 nan nan nan -3.122750011 -3.122750011 0.925372856 0 1
0.825000 nan nan nan -3.965221427 -3.965221427 1.024465826 0 1
0.850000 nan nan nan -4.812087931 -4.812087931 1.151578860 0 1
0.875000 nan nan nan -5.546943982 -5.546943982 1.316519124 0 1
