x ratio alignment normal_ratio dMdh path_min depth retained n_roots
0.250000 0.147223677 0.996045451 0.116227558 1.771826994 0.706598778 0.664643395 1 1
0.275000 0.163673837 0.993963387 0.119623237 1.924004849 0.706598778 0.600621135 1 1
0.300000 0.181657632 0.991061835 0.120263305 1.954951441 0.706598778 0.553680479 1 1
0.325000 0.200540692 0.987570971 0.119641391 1.894422525 0.706598778 0.518617297 1 1
0.350000 0.219099499 0.983797396 0.118487786 1.763983046 0.706598778 0.492193921 1 1
0.375000 0.237063076 0.979909307 0.117534658 1.578049508 0.706598778 0.472323441 1 1
0.400000 0.254002258 0.976059295 0.116974231 1.345863456 0.706598778 0.457623713 1 1
0.425000 0.269478071 0.972390021 0.116735669 1.073039704 0.706598778 0.447164030 1 1
0.450000 0.283713507 0.968907620 0.116900958 0.762619515 0.705081120 0.440316477 1 1
0.475000 0.296277940 0.965731362 0.117167129 0.415720386 0.415720386 0.436666703 1 1
0.500000 0.307578798 0.962801756 0.117572328 0.031942692 0.031942692 0.435959684 1 1
0.525000 nan nan nan -0.390393597 -0.390393597 0.438067582 0 1
0.550000 nan nan nan -0.854151097 -0.854151097 0.442972490 0 1
0.575000 nan nan nan -1.363368076 -1.363368076 0.450760206 0 1
0.600000 nan nan nan -1.923305098 -1.923305098 0.461623682 0 1
0.625000 nan nan nan -2.540566021 -2.540566021 0.475876199 0 1
0.650000 nan nan nan -3.223247935 -3.223247935 0.493976051 0 1
0.675000 nan nan nan -3.981039048 -3.981039048 0.516566615 0 1
0.700000 nan nan nan -4.825208473 -4.825208473 0.544538528 0 1
0.725000 nan nan nan -5.768119865 -5.768119865 0.579125379 0 1
0.750000 nan nan nan -6.821499567 -6.821499567 0.622051138 0 1
0.775000 nan nan nan -7.991516611 -7.991516611 0.675759808 0 1
0.800000 nan nan nan -9.265258483 -9.265258483 0.743768859 0 1
0.825000 nan nan nan -10.576292463 -10.576292463 0.831175809 0 1
0.850000 nan nan nan -11.741304206 -11.741304206 0.945204377 0 1
0.875000 nan nan nan -12.500488822 -12.500488822 1.095361940 0 1
