x ratio alignment normal_ratio dMdh path_min depth retained n_roots
0.250000 0.067891506 0.999722018 0.063403527 0.463754813 0.463754813 1.568194969 1 1
0.275000 0.113176940 0.999970408 0.112773439 1.184273126 0.706598778 1.295911988 1 1
0.300000 0.137845517 0.999990990 0.137566197 1.780200226 0.706598778 1.128684502 1 1
0.325000 0.155098089 0.998603298 0.145211422 2.123746845 0.706598778 1.018026372 1 1
0.350000 0.186825508 0.993463374 0.145925374 2.225969601 0.706598778 0.941052532 1 1
0.375000 0.230786114 0.984617307 0.144642786 2.126088206 0.706598778 0.885950762 1 1
0.400000 0.277634981 0.973509441 0.142822298 1.859809372 0.706598778 0.846117821 1 1
0.425000 0.322074995 0.961608257 0.141127369 1.453585935 0.706598778 0.817622817 1 1
0.450000 0.362532308 0.949804987 0.139963107 0.925277250 0.704973054 0.798023058 1 1
0.475000 0.397934027 0.938778549 0.138916203 0.285845029 0.285845029 0.785769563 1 1
0.500000 nan nan nan -0.459137839 -0.459137839 0.779890364 0 1
0.525000 nan nan nan -1.308386204 -1.308386204 0.779816005 0 1
0.550000 nan nan nan -2.264175054 -2.264175054 0.785283845 0 1
0.575000 nan nan nan -3.331878824 -3.331878824 0.796290649 0 1
0.600000 nan nan nan -4.519615490 -4.519615490 0.813079829 0 1
0.625000 nan nan nan -5.837917466 -5.837917466 0.836158817 0 1
0.650000 nan nan nan -7.299175560 -7.299175560 0.866350098 0 1
0.675000 nan nan nan -8.916296118 -8.916296118 0.904888669 0 1
0.700000 nan nan nan -10.699679776 -10.699679776 0.953594595 0 1
0.725000 nan nan nan -12.649950135 -12.649950135 1.015183074 0 1
0.750000 nan nan nan -14.740148329 -14.740148329 1.093857799 0 1
0.775000 nan nan nan -16.870192121 -16.870192121 1.196588679 0 1
0.800000 nan nan nan -18.738636839 -18.738636839 1.336475059 0 2
0.825000 nan nan nan -19.406777978 -19.406777978 1.546092986 0 2
0.850000 nan nan nan nan nan nan 0 0
0.875000 nan nan nan nan nan nan 0 0
