C x r_over_R m_over_M alignment ilove_clove normal_ratio depth
0.10 0.525000 0.438099412 0.592162765 0.917609853 0.449223490 0.085188284 1.354640315
0.12 0.575000 0.448228883 0.470964893 0.951389055 0.336852409 0.076472690 1.051270882
0.14 0.650000 0.435953275 0.340013401 0.977468460 0.226713139 0.062648617 0.692098738
